Codigo;Detalle;Stock;Precio
216;PACK X 50. LIJA EKO AGUA Nº 80;0;806.40
233;PACK X 50. LIJA TELA EKO Nº 100;0;2197.61
234;PACK X 50. LIJA TELA EKO Nº 120;0;2197.61
235;PACK X 50. LIJA TELA EKO Nº 180;0;2197.61
236;PACK X 50. LIJA TELA EKO Nº 60;0;2876.27
237;PACK X 50. LIJA TELA EKO Nº 80;0;2197.61
243;PACK LIJAS MADERA EKO 100 X 50 UNID.;0;720.81
244;PACK LIJAS MADERA EKO 120 X 50 UNID.;60.00;374.40
245;PACK LIJAS MADERA EKO 150 X 50 UNID.;60.00;374.40
246;PACK LIJAS MADERA EKO 180 X 50 UNID.;0;720.81
247;PACK LIJAS MADERA EKO 220 X 50 UNID.;15.00;720.81
248;PACK LIJAS MADERA EKO 80 X 50 UNID.;60.00;374.40
249;LASUR VENTO ALGARROBO (PACK X 4) X 1 LT.;5.00;10758.17
250;OF.- LASUR VENTO ALGARROBO X 4 LS.;1.00;38942.94
251;LASUR VENTO ALGARROBO (PACK X 4) X 500 CC.;1.00;6421.94
252;LASUR VENTO CAOBA (PACK X 4) X 1 LT.;5.00;10758.17
253;OF.- LASUR VENTO CAOBA X 4 LS.;2.00;38942.94
254;LASUR VENTO CAOBA (PACK X 4) X 500 CC.;5.00;6421.94
255;LASUR VENTO CEDRO (PACK X 4) X 1 LT.;3.00;10758.17
256;OF.- LASUR VENTO CEDRO X 4 LS;2.00;38942.94
257;LASUR VENTO CEDRO (PACK X 4) X 500 CC.;0.00;6421.94
258;LASUR VENTO CRISTAL (PACK X 4) X 1 LT.;0.00;10758.17
259;OF.- LASUR VENTO CRISTAL X 4 LT.;0.00;38942.94
260;LASUR VENTO CRISTAL (PACK X 4) X 500 CC.;1.00;6421.94
261;LASUR VENTO NATURAL (PACK X 4) X 1 LT.;3.00;10758.17
262;OF.- LASUR VENTO NATURAL X 4 LTS.;0.00;38942.94
263;LASUR VENTO NATURAL (PACK X 4) X 500 CC.;0.00;6421.94
264;LASUR VENTO NOGAL (PACK X 4) X 1 LT.;6.00;10758.17
265;OF.- LASUR VENTO NOGAL X 4 LS.;2.00;38942.94
266;LASUR VENTO NOGAL (PACK X 4) X 500 CC.;4.00;6421.94
267;MASILLA PARA MAD. ALGARROBO X 400 GRS (PACK X 6);0.00;2479.16
268;MASILLA PARA MAD. CAOBA X 400 GRS (PACK X 6);0;2479.16
269;MASILLA PARA MAD. CEDRO X 400 GRS (PACK X 6);0.00;2479.16
270;MASILLA PARA MAD. NATURAL X 400 GRS (PACK X 6);2.00;2479.16
271;MASILLA PARA MAD. NOGAL X 400 GRS (PACK X 6);0.00;2026.79
272;MASILLA PARA MAD. PINO X 400 GRS (PACK X 6);0.00;2479.16
273;MASILLA PARA MAD. ROBLE X 400 GRS (PACK X 6);0.00;2026.79
280;MEMBRANA VENTO BLANCA X 1 L (PACK X 4 );9.00;5308.59
281;MEMBRANA VENTO BLANCA X 10 L;2.00;41032.84
282;OF.- MEMBRANA VENTO BLANCA X 20 L;3.00;77894.68
283;MEMBRANA VENTO BLANCA X 4 L;8.00;18725.20
284;MEMBRANA VENTO CEMENTO X 1 L (PACK X 4 );0;5308.59
285;MEMBRANA VENTO CEMENTO X 10 L;0.00;41032.84
286;OF.- MEMBRANA VENTO CEMENTO X 20 L;0;77894.68
287;MEMBRANA VENTO CEMENTO X 4 L;0;18725.20
288;MEMBRANA VENTO TEJA X 1 L (PACK X 4 );0;5308.59
289;MEMBRANA VENTO TEJA X 10 L;1.00;41032.84
290;OF.- MEMBRANA VENTO TEJA X 20 L;0.00;77894.68
291;MEMBRANA VENTO TEJA X 4 L;0;18725.20
292;PASTA P/ PULIR X    500GM.- GRUESA -;0;10109.26
293;PASTA P/ PULIR X 1 KG.- FINA-;0.00;15888.64
294;PASTA P/ PULIR X 4 KGS.-FINA-;0.00;13499.82
295;PASTA P/ PULIR X 500 GRS.-FINA-;0.00;9715.68
296;PINCEL EKO C. BLANCA V1 Nº 10 X 12 UNID.;114.00;1262.66
297;PINCEL EKO C. BLANCA V1 Nº 15 X 12 UNID.;86.00;1668.05
298;PINCEL EKO C. BLANCA V1 Nº 20 X 12 UNID.;112.00;2199.69
299;PINCEL EKO C. BLANCA V1 Nº 25 X 12 UNID.;0;2638.30
300;PINCEL EKO C. BLANCA V1 Nº 30 X 12 UNID.;0;3169.95
308;PINT. AL AGUA BLANCA X 4KGS. (BOLSON X 5 UN.);1.80;7028.66
309;PINT. AL AGUA (F) AZUL X 4KGS (BOLSA X 5).;0;8776.19
310;PINT. AL AGUA (F) CORAL X 4KGS. (BOLSON X 5 UN.);0;8776.19
311;PINT. AL AGUA (F) MAIZ X 4KGS. (BOLSON X 5 UNID);0;8776.19
312;PINT. AL AGUA (F) VERDE CACTUS X 4KGS. (BOLSON X 5 UN.);0;8776.19
313;PINT. AL AGUA (M) AMARILLO X 4KGS. (BOLSON X 5 UN.);0;7518.21
314;PINT. AL AGUA (M) CELESTE X 4KGS.(BOLSON X 5 UNID);0;7518.21
315;PINT. AL AGUA (M) DURAZNO X 4KGS. (BOLSON X 5 UNID);5.00;7518.21
316;PINT. AL AGUA (M)VERDE NIEBLA X 4KGS. (BOLSON X 5 UN.);1.00;7518.21
